location,bhk,sqft,area_unit,price_lakh,price_text,price_per_sqft,property_name
"Bommasandra, Bangalore",5,2600,sqft,219.99,2.2 Cr,8461,SKR Gardens
"5th Block Hbr Layout, HBR Layout",12,1200,sqft,380,3.8 Cr,31666,
"Sarjapur Road, Bangalore",4,3040,sqft,225,2.25  - 3.28 Cr,9087,CasaLife by Bhavisha Homes
"Whitefield, Bangalore",5,4629,sqft,381.38,3.81  - 6.65 Cr,11299,DSR Elixir
"Whitefield, Bangalore",4,4879.5,sqft,490.53,4.91  - 6.12 Cr,11300,DSR Elixir
"Whitefield, Bangalore",4,3476,sqft,232.94,2.33  - 4.28 Cr,9500,The Berries For Birds
"Whitefield, Bangalore",3,1900,sqft,225,2.25 Cr,11842,The Berries For Birds
"Whitefield, Bangalore",4,2970,sqft,299.04,2.99  - 3.24 Cr,10490,SJ Park Ville
"Attibele, Bangalore",4,2584,sqft,198,1.98  - 2.7 Cr,9061,Ira By The Banks
"Sarjapur Road, Bangalore",4,3535,sqft,226.8,2.27  - 2.68 Cr,7000,Yash Dream Scape
"Attibele, Bangalore",3,2225.5,sqft,180,1.8  - 2.45 Cr,9513,Ira By The Banks
"Budigere Cross, Bangalore",4,3500,sqft,290,2.9  - 4.61 Cr,10984,Konig Fortune County
"Whitefield, Bangalore",4,3325,sqft,210,2.1  - 4 Cr,8443,AR Belle Vie
"Sadahalli, Devanahalli",4,3000,sqft,341.25,3.41  - 4.46 Cr,13125,Konig Pearl County
"Sarjapur, Bangalore",3,2042,sqft,185,1.85  - 1.99 Cr,9399,Heritage Urban POD
"Sarjapura Attibele Road, Bangalore",4,2502,sqft,224.82,2.25  - 2.26 Cr,9000,Natura Earth Villas
"Sarjapura Attibele Road, Bangalore",3,2205,sqft,196.74,1.97  - 2 Cr,9000,Natura Earth Villas
"Hoskote, Bangalore",4,2927.5,sqft,269,2.69  - 3.09 Cr,9895,M1 Terra Alegria
"Hoskote, Bangalore",4,2927.5,sqft,279,2.79  - 2.99 Cr,9928,M1 Terra Alegria
"Varthur, Bangalore",4,3272.5,sqft,257.6,2.58  - 3.33 Cr,9029,SLN Nidhi Aura
"Sarjapur, Bangalore",4,2524,sqft,216,2.16  - 2.38 Cr,9000,Confident Atria
"Sarjapur, Bangalore",4,3252,sqft,213.07,2.13  - 3.4 Cr,8499,ATCO La Vivant
"Sarjapur Road, Bangalore",4,2740,sqft,161.66,1.62 Cr,5900,Palm Paradise by Westbury
"Sarjapur Road, Bangalore",4,4536.5,sqft,524.66,5.25  - 9.25 Cr,16002,Nambiar Ellegenza
"Sarjapur Road, Bangalore",5,3916,sqft,577.68,5.78  - 6.36 Cr,15500,Nambiar Ellegenza
"Varthur, Bangalore",4,3120.5,sqft,249.17,2.49  - 2.5 Cr,7999,Vaishno Luxuria
"Sarjapur Road, Bangalore",3,2762,sqft,510.24,5.1  - 6.38 Cr,20792,Nambiar Ellegenza
